2025-12-15 19:46:47,825 | INFO | app | ✅ Logging initialized
2025-12-15 19:46:47,871 | INFO | root | ✅ Startup complete
2025-12-15 19:46:47,872 | INFO | uvicorn.error | Application startup complete.
2025-12-15 21:14:20,113 | INFO | uvicorn.error | Shutting down
2025-12-15 21:14:20,290 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-15 21:14:20,355 | INFO | uvicorn.error | Application shutdown complete.
2025-12-15 21:14:20,360 | INFO | uvicorn.error | Finished server process [52604]
2025-12-15 21:14:25,268 | INFO | app | ✅ Logging initialized
2025-12-15 21:14:25,282 | INFO | root | ✅ Startup complete
2025-12-15 21:14:25,283 | INFO | uvicorn.error | Application startup complete.
2025-12-15 21:25:01,735 | INFO | uvicorn.error | Shutting down
2025-12-15 21:25:01,860 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-15 21:25:01,870 | INFO | uvicorn.error | Application shutdown complete.
2025-12-15 21:25:01,872 | INFO | uvicorn.error | Finished server process [51820]
2025-12-15 21:25:06,655 | INFO | app | ✅ Logging initialized
2025-12-15 21:25:06,660 | INFO | root | ✅ Startup complete
2025-12-15 21:25:06,661 | INFO | uvicorn.error | Application startup complete.
2025-12-15 21:27:21,847 | INFO | uvicorn.error | Shutting down
2025-12-15 21:27:21,956 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-15 21:27:21,959 | INFO | uvicorn.error | Application shutdown complete.
2025-12-15 21:27:21,959 | INFO | uvicorn.error | Finished server process [47044]
2025-12-15 21:27:26,286 | INFO | app | ✅ Logging initialized
2025-12-15 21:27:26,290 | INFO | root | ✅ Startup complete
2025-12-15 21:27:26,291 | INFO | uvicorn.error | Application startup complete.
2025-12-15 22:32:30,686 | INFO | uvicorn.access | 127.0.0.1:52179 - "GET /tenant/leads HTTP/1.1" 401
2025-12-15 22:32:31,087 | INFO | uvicorn.access | 127.0.0.1:52179 - "DELETE /tenant/leads/ HTTP/1.1" 401
2025-12-15 22:37:26,376 | INFO | uvicorn.access | 127.0.0.1:62493 - "GET /leads?limit=5 HTTP/1.1" 200
2025-12-15 22:37:36,419 | INFO | uvicorn.access | 127.0.0.1:62524 - "GET /leads?limit=5 HTTP/1.1" 200
2025-12-15 22:37:36,523 | INFO | uvicorn.access | 127.0.0.1:62524 - "DELETE /leads/ HTTP/1.1" 307
2025-12-15 22:37:36,527 | INFO | uvicorn.access | 127.0.0.1:62524 - "DELETE /leads HTTP/1.1" 405
2025-12-15 22:40:16,839 | INFO | uvicorn.access | 127.0.0.1:49161 - "GET /openapi.json HTTP/1.1" 200
2025-12-15 22:41:11,591 | INFO | uvicorn.access | 127.0.0.1:62739 - "GET /leads?limit=5 HTTP/1.1" 200
2025-12-15 22:43:26,772 | INFO | uvicorn.access | 127.0.0.1:65276 - "GET /openapi.json HTTP/1.1" 200
2025-12-16 16:04:50,755 | INFO | app | ✅ Logging initialized
2025-12-16 16:04:51,221 | INFO | root | ✅ Startup complete
2025-12-16 16:04:51,222 | INFO | uvicorn.error | Application startup complete.
2025-12-16 16:05:25,096 | INFO | uvicorn.access | 127.0.0.1:62177 - "GET /backup/debug-env HTTP/1.1" 200
2025-12-16 16:05:41,454 | INFO | uvicorn.access | 127.0.0.1:52026 - "GET /leads?limit=5 HTTP/1.1" 200
2025-12-16 16:05:54,085 | INFO | uvicorn.access | 127.0.0.1:59917 - "GET /_int/whoami-raw HTTP/1.1" 200
2025-12-16 16:05:54,138 | INFO | uvicorn.access | 127.0.0.1:59917 - "GET /debug/whoami-verbose HTTP/1.1" 200
2025-12-16 16:15:02,025 | INFO | uvicorn.error | Shutting down
2025-12-16 16:15:02,131 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 16:15:02,132 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 16:15:02,135 | INFO | uvicorn.error | Finished server process [7284]
2025-12-16 16:15:10,851 | INFO | app | ✅ Logging initialized
2025-12-16 16:15:10,860 | INFO | root | ✅ Startup complete
